ID,Petición (Tiempo),Marca de tiempo Respuesta,Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo)
114791,Tue Jun 23 11:46:44 PET 2026,Tue Jun 23 11:46:44 PET 2026,POST,https://localhost:7241/api/auth/login,400,Bad Request,7,135,143
113439,Tue Jun 23 11:46:17 PET 2026,Tue Jun 23 11:46:17 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,3,406,0
113456,Tue Jun 23 11:46:18 PET 2026,Tue Jun 23 11:46:18 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,4,406,0
113460,Tue Jun 23 11:46:18 PET 2026,Tue Jun 23 11:46:18 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,3,406,0
113463,Tue Jun 23 11:46:18 PET 2026,Tue Jun 23 11:46:18 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,4,406,0
113466,Tue Jun 23 11:46:18 PET 2026,Tue Jun 23 11:46:18 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,3,406,0
113469,Tue Jun 23 11:46:18 PET 2026,Tue Jun 23 11:46:18 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,4,406,0
113472,Tue Jun 23 11:46:18 PET 2026,Tue Jun 23 11:46:18 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,3,406,0
113475,Tue Jun 23 11:46:18 PET 2026,Tue Jun 23 11:46:18 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,3,406,0
113478,Tue Jun 23 11:46:19 PET 2026,Tue Jun 23 11:46:19 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,3,406,0
113481,Tue Jun 23 11:46:19 PET 2026,Tue Jun 23 11:46:19 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,4,406,0
113484,Tue Jun 23 11:46:19 PET 2026,Tue Jun 23 11:46:19 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,3,406,0
113487,Tue Jun 23 11:46:19 PET 2026,Tue Jun 23 11:46:19 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,3,406,0
113490,Tue Jun 23 11:46:19 PET 2026,Tue Jun 23 11:46:19 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,3,406,0
113493,Tue Jun 23 11:46:19 PET 2026,Tue Jun 23 11:46:19 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,4,406,0
